Bird_ID	Trip_ID	min_Date	max_Date	min_Latitude	max_Latitude	min_Longitude	max_Longitude	track_dur	total_distance	max_Dcol	mean_Temperature	sd_Temperature	mean_Speed	sd_Speed
12_L078624	8	2023-08-26 04:43:05	2023-08-28 03:18:17	39.23282	39.4423633	-9.8678683	-9.4639033	46.5866666666667	3943.7	37.18	19.28	1.58395236970341	15.6443490909091	18.2476272340628
12_L078624	9	2023-08-28 04:49:05	2023-08-31 20:57:00	39.2439283	39.8635083	-9.866105	-9.0171183	88.1319444444444	14744.94	64.75	18.2662835249042	1.18206900009891	11.7754559386973	17.348653690871
12_L078624	10	2023-09-01 04:13:40	2023-09-01 20:18:30	39.2305917	39.4636233	-9.9827167	-9.4381483	16.0805555555556	2641.15	44.93	20.9791666666667	2.14711148273634	11.9994166666667	17.4954379615563
12_L078624	11	2023-09-02 03:08:51	2023-09-02 19:52:40	39.3956683	39.503895	-9.52691	-9.2146317	16.7302777777778	1537.99	26.8	18.6914893617021	0.99489660936525	13.5944680851064	17.2765544265577
13_L039109	1	2023-08-21 04:51:01	2023-08-22 02:49:38	38.7544283	39.4141617	-9.8426317	-9.3715717	21.9769444444444	4878.54	78.85	23.2258064516129	1.19899443609385	22.5227096774194	21.9748146762629
13_L039109	2	2023-08-22 05:07:31	2023-08-22 20:53:25	39.343415	39.4195483	-9.7003167	-9.5028667	15.765	1021.34	18.28	24.1827956989247	1.31831774027703	10.2158709677419	15.749370521048
13_L039109	3	2023-08-23 05:07:13	2023-08-23 20:46:55	38.9177467	39.4148867	-9.8881217	-9.50142	15.6616666666667	2945.99	63.26	23.9888888888889	1.1945046873871	14.1575111111111	19.180982431544
13_L039109	4	2023-08-24 05:07:23	2023-08-25 21:53:58	39.408575	41.0016717	-9.5277583	-8.6923517	40.7763888888889	32105.38	189.21	23.4529914529915	1.41418762373306	16.5017948717949	20.9849704973153
13_L039109	5	2023-08-26 05:06:42	2023-08-28 20:35:29	38.7203733	39.4142567	-10.0627667	-9.4681733	63.4797222222222	22765.7	88.45	21.976	1.78585050664538	15.6703893333333	20.1814043131597
13_L039109	6	2023-08-29 05:09:00	2023-08-29 20:11:54	39.2687533	39.4220283	-9.821735	-9.5021217	15.0483333333333	1630.73	31.12	22.1666666666667	1.15388936824867	10.8856444444444	16.6247717147872
13_L039109	7	2023-08-30 03:58:21	2023-08-31 20:40:22	38.74734	39.558235	-10.19704	-9.2862017	40.7002777777778	10293.69	87.91	22.4199134199134	2.04967483982046	19.0250909090909	20.3448307509058
13_L039109	8	2023-09-01 01:23:18	2023-09-06 20:00:01	39.3360367	42.2163917	-10.4146983	-8.69624	138.611944444444	129261.82	312.23	21.7167277167277	1.71013119153907	19.157684981685	20.3366604368712
15_L064343	1	2023-08-19 00:52:16	2023-08-19 22:31:06	38.87251	39.4214583	-9.8172383	-9.4984333	21.6472222222222	3366.42	64.05	20.6666666666667	1.7467919313078	21.7124952380952	20.6940326716162
15_L064343	2	2023-08-20 04:59:58	2023-08-20 21:28:59	38.9827367	39.414135	-9.7711833	-9.500685	16.4836111111111	3487.17	49.1	20.4489795918367	1.42237241182811	16.0632653061224	18.3815861096987
