CONT_ID	DATEGMT	Month	Year	MAIN_tracking_Year	LON	LAT	COLONY	stage	UNIQUE_ID	timestamps
5827	03/07/2012 12:43	7	2012	2012	-16.9	23.2125	SEL	NON-BREEDING	12	2012-07-03 12:43:00
5828	04/07/2012 00:42	7	2012	2012	-15.475	20.505	SEL	NON-BREEDING	12	2012-07-04 00:42:00
5829	04/07/2012 12:49	7	2012	2012	-17.205	21.955	SEL	NON-BREEDING	12	2012-07-04 12:49:00
5830	05/07/2012 00:45	7	2012	2012	-16.185	24.715	SEL	NON-BREEDING	12	2012-07-05 00:45:00
5831	05/07/2012 12:45	7	2012	2012	-16.035	25.415	SEL	NON-BREEDING	12	2012-07-05 12:45:00
5832	06/07/2012 00:45	7	2012	2012	-16.015	25.475	SEL	NON-BREEDING	12	2012-07-06 00:45:00
5833	06/07/2012 12:40	7	2012	2012	-14.745	24.655	SEL	NON-BREEDING	12	2012-07-06 12:40:00
5834	07/07/2012 00:45	7	2012	2012	-16.095	21.735	SEL	NON-BREEDING	12	2012-07-07 00:45:00
5835	07/07/2012 12:36	7	2012	2012	-17.59	19.775	SEL	NON-BREEDING	12	2012-07-07 12:36:00
5836	08/07/2012 00:36	7	2012	2012	-17.57	17.285	SEL	NON-BREEDING	12	2012-07-08 00:36:00
5837	08/07/2012 12:50	7	2012	2012	-17.415	19.735	SEL	NON-BREEDING	12	2012-07-08 12:50:00
5838	09/07/2012 00:47	7	2012	2012	-16.645	24.515	SEL	NON-BREEDING	12	2012-07-09 00:47:00
5839	09/07/2012 12:46	7	2012	2012	-16.375	25.025	SEL	NON-BREEDING	12	2012-07-09 12:46:00
5840	10/07/2012 00:53	7	2012	2012	-17.865	22.805	SEL	NON-BREEDING	12	2012-07-10 00:53:00
5841	10/07/2012 12:56	7	2012	2012	-16.5675	23.515	SEL	NON-BREEDING	12	2012-07-10 12:56:00
5842	11/07/2012 00:51	7	2012	2012	-17.575	24.335	SEL	NON-BREEDING	12	2012-07-11 00:51:00
5843	11/07/2012 12:52	7	2012	2012	-17.685	25.545	SEL	NON-BREEDING	12	2012-07-11 12:52:00
5844	12/07/2012 00:53	7	2012	2012	-17.925	25.165	SEL	NON-BREEDING	12	2012-07-12 00:53:00
5845	12/07/2012 12:45	7	2012	2012	-17.31	23.8225	SEL	NON-BREEDING	12	2012-07-12 12:45:00
5846	13/07/2012 00:45	7	2012	2012	-17.04	22.4725	SEL	NON-BREEDING	12	2012-07-13 00:45:00
5847	13/07/2012 12:51	7	2012	2012	-17.375	23.555	SEL	NON-BREEDING	12	2012-07-13 12:51:00
5848	14/07/2012 00:51	7	2012	2012	-17.365	25.495	SEL	NON-BREEDING	12	2012-07-14 00:51:00
