Id,Dategmt,Longitude,Latitude,Bird_id,
142,2023-05-07 16:24:00,-6.475733,36.936054,220729,
143,2023-05-07 16:29:00,-6.475782,36.936115,220729,
144,2023-05-07 16:34:00,-6.475766,36.936073,220729,
145,2023-05-07 16:39:00,-6.475742,36.936138,220729,
146,2023-05-07 16:44:00,-6.476694,36.936951,220729,
147,2023-05-07 16:49:00,-6.476647,36.936939,220729,
148,2023-05-07 16:54:00,-6.4767,36.936962,220729,
149,2023-05-07 16:59:00,-6.476611,36.937012,220729,
150,2023-05-07 17:37:20,-6.476713,36.936935,220729,
151,2023-05-07 17:42:20,-6.476721,36.937054,220729,
152,2023-05-07 17:14:00,-6.476672,36.937031,220729,
153,2023-05-07 17:19:00,-6.47673,36.937,220729,
154,2023-05-07 17:24:00,-6.476749,36.937065,220729,
155,2023-05-07 17:29:00,-6.476713,36.937031,220729,
156,2023-05-07 17:34:00,-6.476774,36.937019,220729,
157,2023-05-07 17:39:00,-6.476713,36.937073,220729,
158,2023-05-07 17:45:00,-6.476625,36.936943,220729,
159,2023-05-07 17:49:00,-6.476592,36.936943,220729,
160,2023-05-07 17:54:00,-6.476826,36.93716,220729,
161,2023-05-07 17:59:00,-6.4781,36.938473,220729,
162,2023-05-07 18:37:20,-6.478187,36.938644,220729,
163,2023-05-07 18:42:20,-6.478199,36.938744,220729,
164,2023-05-07 18:14:00,-6.478231,36.938744,220729,
165,2023-05-07 18:19:00,-6.478254,36.938759,220729,
166,2023-05-07 18:24:00,-6.47831,36.938744,220729,
167,2023-05-07 18:29:00,-6.478313,36.938774,220729,
168,2023-05-07 18:34:00,-6.478315,36.938786,220729,
169,2023-05-07 18:39:00,-6.478308,36.938774,220729,
170,2023-05-07 18:44:00,-6.478267,36.938774,220729,
171,2023-05-07 18:49:00,-6.47833,36.938778,220729,
172,2023-05-07 18:54:00,-6.478277,36.938736,220729,
173,2023-05-07 18:59:00,-6.478322,36.93882,220729,
174,2023-05-07 19:38:20,-6.478305,36.938774,220729,
175,2023-05-07 19:42:20,-6.478347,36.938782,220729,
176,2023-05-07 19:14:00,-6.478366,36.938812,220729,
177,2023-05-07 19:19:00,-6.478352,36.938789,220729,
178,2023-05-07 19:25:00,-6.478342,36.938793,220729,
179,2023-05-07 19:29:00,-6.478356,36.938808,220729,
180,2023-05-07 19:34:00,-6.478354,36.938797,220729,
181,2023-05-07 19:39:00,-6.478459,36.938816,220729,
182,2023-05-07 19:44:00,-6.478452,36.938824,220729,
183,2023-05-07 19:51:00,-6.492026,36.93367,220729,
184,2023-05-07 20:51:00,-6.495714,36.924118,220729,
185,2023-05-07 21:52:00,0,0,220729,
186,2023-05-07 22:51:00,-6.557742,36.877441,220729,
187,2023-05-07 23:51:00,-6.534612,36.83329,220729,
188,2023-05-08 00:51:00,-6.563901,36.869587,220729,
189,2023-05-08 01:51:00,-6.553203,36.88549,220729,
190,2023-05-08 02:51:00,-6.509759,36.849373,220729,
191,2023-05-08 03:52:00,0,0,220729,
192,2023-05-08 04:52:00,0,0,220729,
193,2023-05-08 04:59:00,-6.651057,36.838364,220729,
194,2023-05-08 05:36:20,-6.680854,36.841404,220729,
195,2023-05-08 05:40:20,-6.704985,36.827026,220729,
196,2023-05-08 05:45:20,-6.740354,36.804386,220729,
197,2023-05-08 05:17:00,-6.765609,36.780506,220729,
198,2023-05-08 05:22:00,-6.800004,36.768219,220729,
199,2023-05-08 05:27:00,-6.826863,36.766273,220729,
200,2023-05-08 05:32:00,-6.835616,36.778282,220729,
201,2023-05-08 05:37:00,-6.858943,36.785561,220729,
202,2023-05-08 05:42:00,-6.885365,36.786896,220729,
203,2023-05-08 05:47:00,-6.880146,36.798859,220729,
204,2023-05-08 05:52:00,-6.894046,36.811455,220729,
205,2023-05-08 05:57:00,-6.895522,36.813007,220729,
206,2023-05-08 06:35:20,-6.901909,36.817108,220729,
207,2023-05-08 06:40:20,-6.902599,36.831619,220729,
208,2023-05-08 06:13:00,-6.899095,36.821564,220729,
209,2023-05-08 06:19:00,-6.89927,36.813629,220729,
210,2023-05-08 06:23:00,-6.895872,36.806026,220729,
211,2023-05-08 06:27:00,-6.891624,36.802353,220729,
212,2023-05-08 06:32:00,-6.891078,36.801994,220729,
213,2023-05-08 06:37:00,-6.885809,36.803337,220729,
214,2023-05-08 06:42:00,-6.877422,36.815487,220729,
215,2023-05-08 06:47:00,-6.878843,36.828175,220729,
216,2023-05-08 06:52:00,-6.874353,36.83437,220729,
217,2023-05-08 06:57:00,-6.870214,36.831665,220729,
218,2023-05-08 07:35:20,-6.870148,36.831429,220729,
219,2023-05-08 07:40:20,-6.862795,36.824394,220729,
220,2023-05-08 07:45:20,-6.859384,36.821014,220729,
221,2023-05-08 07:17:00,-6.855221,36.816898,220729,
222,2023-05-08 07:22:00,-6.850659,36.813923,220729,
223,2023-05-08 07:27:00,-6.848268,36.811058,220729,
224,2023-05-08 07:32:00,-6.848491,36.810486,220729,
225,2023-05-08 07:38:00,-6.840727,36.803917,220729,
226,2023-05-08 07:42:00,-6.839024,36.80072,220729,
227,2023-05-08 07:47:00,-6.834366,36.797596,220729,
228,2023-05-08 07:52:00,-6.831363,36.793797,220729,
229,2023-05-08 07:57:00,-6.831763,36.793545,220729,
230,2023-05-08 08:36:20,-6.831867,36.792908,220729,
231,2023-05-08 08:40:20,-6.826035,36.791016,220729,
232,2023-05-08 08:45:20,-6.825931,36.790619,220729,
233,2023-05-08 08:18:00,-6.82559,36.790337,220729,
234,2023-05-08 08:22:00,-6.825281,36.790031,220729,
235,2023-05-08 08:27:00,-6.825035,36.789726,220729,
236,2023-05-08 08:32:00,-6.824818,36.789341,220729,
237,2023-05-08 08:37:00,-6.824816,36.78915,220729,
238,2023-05-08 08:42:00,-6.82488,36.789177,220729,
239,2023-05-08 08:47:00,-6.825351,36.789238,220729,
240,2023-05-08 08:52:00,-6.826061,36.788979,220729,
241,2023-05-08 08:57:00,-6.829551,36.790157,220729,
242,2023-05-08 09:35:20,-6.830069,36.79007,220729,
243,2023-05-08 09:40:20,-6.830463,36.790054,220729,
244,2023-05-08 09:45:20,-6.830578,36.790382,220729,
245,2023-05-08 09:17:00,-6.830723,36.790936,220729,
246,2023-05-08 09:22:00,-6.831258,36.791187,220729,
247,2023-05-08 09:27:00,-6.831398,36.791203,220729,
248,2023-05-08 09:32:00,-6.832,36.791039,220729,
249,2023-05-08 09:38:00,-6.832461,36.791306,220729,
250,2023-05-08 09:43:00,-6.832737,36.791687,220729,
251,2023-05-08 09:47:00,-6.833256,36.791847,220729,
252,2023-05-08 09:52:00,-6.833805,36.792091,220729,
253,2023-05-08 09:57:00,-6.834435,36.792034,220729,
254,2023-05-08 10:35:20,-6.834986,36.792046,220729,
255,2023-05-08 10:40:20,-6.838928,36.783463,220729,
256,2023-05-08 10:45:20,-6.82133,36.75069,220729,
257,2023-05-08 10:17:00,-6.80414,36.745224,220729,
258,2023-05-08 10:22:00,-6.809058,36.750084,220729,
259,2023-05-08 10:27:00,-6.809157,36.750557,220729,
260,2023-05-08 10:32:00,-6.815831,36.757694,220729,
261,2023-05-08 10:37:00,-6.818729,36.76239,220729,
262,2023-05-08 10:42:00,-6.818926,36.762749,220729,
263,2023-05-08 10:47:00,-6.824503,36.782925,220729,
264,2023-05-08 10:52:00,-6.83462,36.807892,220729,
265,2023-05-08 10:58:00,-6.839948,36.822716,220729,
266,2023-05-08 11:35:20,-6.839549,36.823364,220729,
267,2023-05-08 11:41:20,-6.845344,36.848007,220729,
268,2023-05-08 11:45:20,-6.852647,36.857662,220729,
269,2023-05-08 11:17:00,-6.851911,36.857384,220729,
270,2023-05-08 11:22:00,-6.851719,36.857265,220729,
271,2023-05-08 11:27:00,-6.851577,36.857235,220729,
272,2023-05-08 11:32:00,-6.851307,36.8573,220729,
273,2023-05-08 11:37:00,-6.851173,36.857517,220729,
274,2023-05-08 11:42:00,-6.851225,36.857716,220729,
275,2023-05-08 11:47:00,-6.8511,36.857582,220729,
276,2023-05-08 11:52:00,-6.851076,36.857731,220729,
277,2023-05-08 11:57:00,-6.850888,36.858082,220729,
278,2023-05-08 12:35:20,-6.849315,36.859589,220729,
279,2023-05-08 12:40:20,-6.848833,36.859684,220729,
280,2023-05-08 12:45:20,-6.848568,36.859543,220729,
281,2023-05-08 12:17:00,-6.848269,36.859451,220729,
