Id,Dategmt,Longitude,Latitude,Bird_id
165,2018-08-22 07:02:00,-35.489994,45.553627,L078288
166,2018-08-22 07:12:00,-35.451973,45.517822,L078288
167,2018-08-22 07:23:00,-35.417107,45.484116,L078288
168,2018-08-22 07:33:00,-35.393917,45.442951,L078288
169,2018-08-22 07:43:00,-35.368851,45.399487,L078288
170,2018-08-22 07:53:00,-35.361088,45.365082,L078288
171,2018-08-22 08:04:00,-35.331184,45.31953,L078288
172,2018-08-22 08:14:00,-35.328632,45.271172,L078288
173,2018-08-22 08:24:00,-35.299896,45.231171,L078288
174,2018-08-22 08:35:00,-35.29216,45.186829,L078288
175,2018-08-22 08:45:00,-35.283955,45.154675,L078288
176,2018-08-22 08:55:00,-35.264198,45.11824,L078288
177,2018-08-22 09:06:00,-35.261864,45.069271,L078288
178,2018-08-22 09:20:00,-35.2458,45.041557,L078288
179,2018-08-22 09:37:00,-35.20089,44.977718,L078288
180,2018-08-22 09:58:00,-35.188255,44.990913,L078288
181,2018-08-22 10:09:00,-35.195038,45.007961,L078288
182,2018-08-22 10:19:00,-35.200218,45.023159,L078288
183,2018-08-22 10:34:00,-35.178879,45.032146,L078288
184,2018-08-22 10:48:00,-35.163483,45.042942,L078288
185,2018-08-22 10:58:00,-35.171947,45.046589,L078288
186,2018-08-22 11:09:00,-35.181973,45.057613,L078288
187,2018-08-22 11:24:00,-35.176338,45.068577,L078288
188,2018-08-22 11:42:00,-35.167469,45.082169,L078288
189,2018-08-22 11:52:00,-35.162525,45.096691,L078288
190,2018-08-22 12:02:00,-35.167934,45.10331,L078288
191,2018-08-22 12:12:00,-35.164951,45.117039,L078288
192,2018-08-22 12:22:00,-35.177818,45.130375,L078288
193,2018-08-22 12:32:00,-35.182793,45.142616,L078288
194,2018-08-22 12:43:00,-35.182503,45.157417,L078288
195,2018-08-22 12:55:00,-35.155045,45.167953,L078288
196,2018-08-22 13:06:00,-35.094128,45.142654,L078288
197,2018-08-22 13:16:00,-35.042526,45.122208,L078288
198,2018-08-22 13:27:00,-35.017933,45.10191,L078288
199,2018-08-22 13:37:00,-34.98452,45.068302,L078288
200,2018-08-22 13:47:00,-34.975658,45.060078,L078288
201,2018-08-22 13:57:00,-34.921055,45.061348,L078288
202,2018-08-22 14:08:00,-34.931797,45.033768,L078288
203,2018-08-22 14:19:00,-34.910709,44.986927,L078288
204,2018-08-22 14:29:00,-34.879936,44.948257,L078288
205,2018-08-22 14:39:00,-34.845913,44.911823,L078288
206,2018-08-22 14:49:00,-34.8125,44.893997,L078288
207,2018-08-22 14:59:00,-34.793999,44.925716,L078288
208,2018-08-22 15:09:00,-34.786072,44.935589,L078288
209,2018-08-22 15:19:00,-34.772572,44.930092,L078288
210,2018-08-22 15:29:00,-34.836487,44.948689,L078288
211,2018-08-22 15:39:00,-34.834896,44.945568,L078288
212,2018-08-22 15:49:00,-34.866253,44.965408,L078288
213,2018-08-22 15:59:00,-34.914322,44.996029,L078288
214,2018-08-22 16:09:00,-34.903614,45.018391,L078288
215,2018-08-22 16:20:00,-34.904266,45.019825,L078288
216,2018-08-22 16:30:00,-34.894802,45.017063,L078288
217,2018-08-22 16:40:00,-34.883999,45.025047,L078288
218,2018-08-22 16:50:00,-34.90041,45.041924,L078288
219,2018-08-22 17:00:00,-34.892986,45.088017,L078288
220,2018-08-22 17:11:00,-34.905422,45.129761,L078288
221,2018-08-22 17:21:00,-34.924877,45.122089,L078288
222,2018-08-22 17:31:00,-34.932613,45.163845,L078288
223,2018-08-22 17:41:00,-34.934589,45.162457,L078288
224,2018-08-22 17:54:00,-34.934299,45.160374,L078288
225,2018-08-22 18:07:00,-34.935215,45.159355,L078288
226,2018-08-22 18:18:00,-34.935966,45.1577,L078288
227,2018-08-22 18:28:00,-34.936661,45.15649,L078288
228,2018-08-22 18:38:00,-34.937675,45.154984,L078288
229,2018-08-22 18:48:00,-34.940933,45.153858,L078288
230,2018-08-22 18:58:00,-34.942158,45.152199,L078288
231,2018-08-22 19:08:00,-34.943623,45.150852,L078288
232,2018-08-22 19:18:00,-34.943794,45.150791,L078288
233,2018-08-22 19:28:00,-34.946133,45.149921,L078288
234,2018-08-22 19:38:00,-34.946697,45.14975,L078288
235,2018-08-22 19:48:00,-34.949539,45.148487,L078288
236,2018-08-22 19:59:00,-34.950241,45.148335,L078288
237,2018-08-22 20:12:00,-34.951626,45.148769,L078288
238,2018-08-22 20:22:00,-34.95322,45.148121,L078288
239,2018-08-22 20:33:00,-34.954468,45.148571,L078288
240,2018-08-22 20:43:00,-34.955841,45.148682,L078288
241,2018-08-22 20:54:00,-34.956581,45.14909,L078288
242,2018-08-22 21:04:00,-34.957897,45.149006,L078288
243,2018-08-22 21:14:00,-34.959465,45.149414,L078288
244,2018-08-22 21:24:00,-34.95903,45.150925,L078288
245,2018-08-22 21:34:00,-34.960529,45.188095,L078288
246,2018-08-22 21:44:00,-34.953232,45.150967,L078288
247,2018-08-22 21:54:00,-34.943317,45.138531,L078288
248,2018-08-22 22:05:00,-34.945042,45.144871,L078288
249,2018-08-22 22:15:00,-34.937611,45.147881,L078288
250,2018-08-22 22:25:00,-34.942108,45.148293,L078288
251,2018-08-22 22:36:00,-34.947552,45.144745,L078288
252,2018-08-22 22:46:00,-34.946991,45.145939,L078288
253,2018-08-22 22:56:00,-34.960739,45.152733,L078288
